Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
1994,A,142 min,Drama,9.3,80.0,2343110,28341469.0
1972,A,175 min,"Crime, Drama",9.2,100.0,1620367,134966411.0
2008,UA,152 min,"Action, Crime, Drama",9.0,84.0,2303232,534858444.0
1974,A,202 min,"Crime, Drama",9.0,90.0,1129952,57300000.0
1957,U,96 min,"Crime, Drama",9.0,96.0,689845,4360000.0
2003,U,201 min,"Action, Adventure, Drama",8.9,94.0,1642758,377845905.0
1994,A,154 min,"Crime, Drama",8.9,94.0,1826188,107928762.0
1993,A,195 min,"Biography, Drama, History",8.9,94.0,1213505,96898818.0
2010,UA,148 min,"Action, Adventure, Sci-Fi",8.8,74.0,2067042,292576195.0
1999,A,139 min,Drama,8.8,66.0,1854740,37030102.0
2001,U,178 min,"Action, Adventure, Drama",8.8,92.0,1661481,315544750.0
1994,UA,142 min,"Drama, Romance",8.8,82.0,1809221,330252182.0
1966,A,161 min,Western,8.8,90.0,688390,6100000.0
2002,UA,179 min,"Action, Adventure, Drama",8.7,87.0,1485555,342551365.0
1999,A,136 min,"Action, Sci-Fi",8.7,73.0,1676426,171479930.0
1990,A,146 min,"Biography, Crime, Drama",8.7,90.0,1020727,46836394.0
1980,UA,124 min,"Action, Adventure, Fantasy",8.7,82.0,1159315,290475067.0
1975,A,133 min,Drama,8.7,83.0,918088,112000000.0
2020,PG-13,160 min,"Biography, Drama, History",8.6,90.0,55291,23530892.0
2019,A,132 min,"Comedy, Drama, Thriller",8.6,96.0,552778,53367844.0
2020,U,153 min,Drama,8.6,79.0,54995,23530892.0
2014,UA,169 min,"Adventure, Drama, Sci-Fi",8.6,74.0,1512360,188020017.0
2002,A,130 min,"Crime, Drama",8.6,79.0,699256,7563397.0
2001,U,125 min,"Animation, Adventure, Family",8.6,96.0,651376,10055859.0
1998,R,169 min,"Drama, War",8.6,91.0,1235804,216540909.0
1999,A,189 min,"Crime, Drama, Fantasy",8.6,61.0,1147794,136801374.0
1997,U,116 min,"Comedy, Drama, Romance",8.6,59.0,623629,57598247.0
1995,A,127 min,"Crime, Drama, Mystery",8.6,65.0,1445096,100125643.0
1991,A,118 min,"Crime, Drama, Thriller",8.6,85.0,1270197,130742922.0
1977,UA,121 min,"Action, Adventure, Fantasy",8.6,90.0,1231473,322740140.0
1962,Unknown,133 min,"Action, Drama, Mystery",8.6,85.0,42004,23530892.0
1954,U,207 min,"Action, Adventure, Drama",8.6,98.0,315744,269061.0
1946,PG,130 min,"Drama, Family, Fantasy",8.6,89.0,405801,23530892.0
2019,A,122 min,"Crime, Drama, Thriller",8.5,59.0,939252,335451311.0
2014,A,106 min,"Drama, Music",8.5,88.0,717585,13092000.0
2011,UA,112 min,"Biography, Comedy, Drama",8.5,57.0,760360,13182281.0
2006,U,130 min,"Drama, Mystery, Sci-Fi",8.5,66.0,1190259,53089891.0
2006,A,151 min,"Crime, Drama, Thriller",8.5,85.0,1189773,132384315.0
2002,R,150 min,"Biography, Drama, Music",8.5,85.0,729603,32572577.0
2000,UA,155 min,"Action, Adventure, Drama",8.5,67.0,1341460,187705427.0
1998,R,119 min,Drama,8.5,62.0,1034705,6719864.0
1995,A,106 min,"Crime, Mystery, Thriller",8.5,77.0,991208,23341568.0
1994,A,110 min,"Action, Crime, Drama",8.5,64.0,1035236,19501238.0
1994,U,88 min,"Animation, Adventure, Drama",8.5,88.0,942045,422783777.0
1991,U,137 min,"Action, Sci-Fi",8.5,75.0,995506,204843350.0
1988,U,155 min,"Drama, Romance",8.5,80.0,230763,11990401.0
1988,U,89 min,"Animation, Drama, War",8.5,94.0,235231,23530892.0
1985,U,116 min,"Adventure, Comedy, Sci-Fi",8.5,87.0,1058081,210609762.0
1968,U,165 min,Western,8.5,80.0,302844,5321508.0
1960,A,109 min,"Horror, Mystery, Thriller",8.5,97.0,604211,32000000.0
1942,U,102 min,"Drama, Romance, War",8.5,100.0,522093,1024560.0
1936,G,87 min,"Comedy, Drama, Family",8.5,96.0,217881,163245.0
1931,G,87 min,"Comedy, Drama, Romance",8.5,99.0,167839,19181.0
2018,A,126 min,Drama,8.4,75.0,62635,1661096.0
2017,Unknown,125 min,"Biography, Drama, History",8.4,79.0,34112,23530892.0
2017,UA,147 min,"Action, Crime, Drama",8.4,79.0,28401,23530892.0
2016,U,106 min,"Animation, Drama, Fantasy",8.4,79.0,194838,5017246.0
2016,U,161 min,"Action, Biography, Drama",8.4,79.0,156479,12391761.0
2018,U,117 min,"Animation, Action, Adventure",8.4,87.0,375110,190241310.0
2019,UA,181 min,"Action, Adventure, Drama",8.4,78.0,809955,858373000.0
2018,UA,149 min,"Action, Adventure, Sci-Fi",8.4,68.0,834477,678815482.0
2017,U,105 min,"Animation, Adventure, Family",8.4,81.0,384171,209726015.0
2012,A,165 min,"Drama, Western",8.4,81.0,1357682,162805434.0
2012,UA,164 min,"Action, Adventure",8.4,78.0,1516346,448139099.0
2009,UA,170 min,"Comedy, Drama",8.4,67.0,344445,6532908.0
2007,U,165 min,"Drama, Family",8.4,79.0,168895,1223869.0
2008,U,98 min,"Animation, Adventure, Family",8.4,95.0,999790,223808164.0
2006,A,137 min,"Drama, Mystery, Thriller",8.4,89.0,358685,11286112.0
2003,A,101 min,"Action, Drama, Mystery",8.4,77.0,515451,707481.0
2000,UA,113 min,"Mystery, Thriller",8.4,80.0,1125712,25544867.0
1997,U,134 min,"Animation, Action, Adventure",8.4,76.0,343171,2375308.0
1984,A,229 min,"Crime, Drama",8.4,79.0,311365,5321508.0
1981,A,115 min,"Action, Adventure",8.4,85.0,884112,248159971.0
1980,A,146 min,"Drama, Horror",8.4,66.0,898237,44017374.0
1979,R,147 min,"Drama, Mystery, War",8.4,94.0,606398,83471511.0
1979,R,117 min,"Horror, Sci-Fi",8.4,89.0,787806,78900000.0
1971,U,122 min,"Drama, Musical",8.4,79.0,30273,23530892.0
1963,Unknown,143 min,"Crime, Drama, Mystery",8.4,79.0,34357,23530892.0
1964,A,95 min,Comedy,8.4,97.0,450474,275902.0
1957,U,116 min,"Crime, Drama, Mystery",8.4,79.0,108862,8175000.0
1957,A,88 min,"Drama, War",8.4,90.0,178092,23530892.0
1954,U,112 min,"Mystery, Thriller",8.4,100.0,444074,36764313.0
1950,Passed,110 min,"Drama, Film-Noir",8.4,79.0,201632,23530892.0
1940,Passed,125 min,"Comedy, Drama, War",8.4,79.0,203150,288475.0
2019,R,119 min,"Drama, Thriller, War",8.3,78.0,425844,159227644.0
2018,A,104 min,"Drama, Fantasy, Horror",8.3,79.0,27793,23530892.0
2018,UA,139 min,"Crime, Drama, Music",8.3,79.0,71875,1373943.0
2013,U,160 min,"Crime, Drama, Thriller",8.3,79.0,30722,23530892.0
2012,R,115 min,Drama,8.3,77.0,281623,687185.0
2011,PG-13,123 min,Drama,8.3,95.0,220002,7098492.0
2010,R,131 min,"Drama, Mystery, War",8.3,80.0,150023,6857096.0
2019,TV-14,132 min,Drama,8.3,79.0,33935,23530892.0
2005,Unknown,112 min,"Drama, Family",8.3,79.0,78925,23530892.0
2009,A,153 min,"Adventure, Drama, War",8.3,69.0,1267869,120540719.0
2004,UA,108 min,"Drama, Romance, Sci-Fi",8.3,89.0,911664,34400301.0
2001,U,122 min,"Comedy, Romance",8.3,69.0,703810,33225499.0
2000,UA,104 min,"Comedy, Crime",8.3,55.0,782001,30328156.0
2000,A,102 min,Drama,8.3,68.0,766870,3635482.0
1999,UA,122 min,Drama,8.3,84.0,1069738,130096601.0
1997,U,126 min,"Drama, Romance",8.3,70.0,861606,138433435.0
1997,PG,89 min,"Drama, Family, Sport",8.3,77.0,65341,933933.0
1995,U,81 min,"Animation, Adventure, Comedy",8.3,95.0,887429,191796233.0
1995,A,178 min,"Biography, Drama, History",8.3,68.0,959181,75600000.0
1992,R,99 min,"Crime, Drama, Thriller",8.3,79.0,918562,2832029.0
1987,UA,116 min,"Drama, War",8.3,76.0,675146,46357676.0
1985,A,142 min,"Drama, Thriller, War",8.3,79.0,59056,23530892.0
1986,U,137 min,"Action, Adventure, Sci-Fi",8.3,84.0,652719,85160248.0
1984,R,160 min,"Biography, Drama, History",8.3,88.0,369007,51973029.0
1983,A,170 min,"Crime, Drama",8.3,65.0,740911,45598982.0
1983,U,131 min,"Action, Adventure, Fantasy",8.3,58.0,950470,309125409.0
1981,R,149 min,"Adventure, Drama, Thriller",8.3,86.0,231855,11487676.0
1976,A,114 min,"Crime, Drama",8.3,94.0,724636,28262574.0
1973,U,129 min,"Comedy, Crime, Drama",8.3,83.0,241513,159600000.0
1971,A,136 min,"Crime, Drama, Sci-Fi",8.3,77.0,757904,6207725.0
1968,U,149 min,"Adventure, Sci-Fi",8.3,84.0,603517,56954992.0
1965,U,132 min,Western,8.3,74.0,232772,15000000.0
1962,U,228 min,"Adventure, Biography, Drama",8.3,100.0,268085,44824144.0
1960,U,125 min,"Comedy, Drama, Romance",8.3,94.0,164363,18600000.0
1959,U,136 min,"Adventure, Mystery, Thriller",8.3,98.0,299198,13275000.0
1958,A,128 min,"Mystery, Romance, Thriller",8.3,100.0,364368,3200000.0
1952,G,103 min,"Comedy, Musical, Romance",8.3,99.0,218957,8819028.0
1952,Unknown,143 min,Drama,8.3,79.0,68463,55240.0
1948,Unknown,89 min,Drama,8.3,79.0,146427,332930.0
1944,Passed,107 min,"Crime, Drama, Film-Noir",8.3,95.0,143525,5720000.0
1941,UA,119 min,"Drama, Mystery",8.3,100.0,403351,1585634.0
1931,Passed,117 min,"Crime, Mystery, Thriller",8.3,79.0,143434,28877.0
1927,Unknown,153 min,"Drama, Sci-Fi",8.3,98.0,159992,1236166.0
1921,Passed,68 min,"Comedy, Drama, Family",8.3,79.0,113314,5450000.0
2019,UA,143 min,"Comedy, Drama",8.2,79.0,33893,898575.0
2018,UA,138 min,"Action, Drama, War",8.2,79.0,43444,4186168.0
2018,UA,156 min,"Action, Drama",8.2,79.0,36680,23530892.0
2018,UA,130 min,"Biography, Comedy, Drama",8.2,69.0,377884,85080171.0
2017,A,115 min,"Comedy, Crime, Drama",8.2,88.0,432610,54513740.0
2015,UA,132 min,"Crime, Drama, Mystery",8.2,79.0,31142,342370.0
2017,UA,167 min,"Action, Drama",8.2,79.0,75348,20186659.0
2019,PG,96 min,"Animation, Adventure, Comedy",8.2,65.0,104761,23530892.0
2015,UA,163 min,"Crime, Drama, Mystery",8.2,79.0,70367,739478.0
2013,UA,146 min,"Adventure, Comedy, Drama",8.2,79.0,60701,1429534.0
2013,Unknown,87 min,"Drama, War",8.2,73.0,40382,144501.0
2013,U,186 min,"Biography, Drama, Sport",8.2,79.0,61137,1626289.0
2012,A,321 min,"Action, Comedy, Crime",8.2,89.0,82365,23530892.0
2010,UA,134 min,Drama,8.2,79.0,42341,7461.0
2012,UA,135 min,"Action, Biography, Crime",8.2,79.0,33237,39567.0
2009,R,129 min,"Drama, Mystery, Romance",8.2,80.0,193217,6391436.0
2011,UA,140 min,"Action, Drama, Sport",8.2,71.0,435950,13657115.0
2010,A,138 min,"Mystery, Thriller",8.2,63.0,1129894,128012934.0
2009,U,96 min,"Animation, Adventure, Comedy",8.2,88.0,935507,293004164.0
2013,A,180 min,"Biography, Crime, Drama",8.2,75.0,1187498,116900694.0
2007,U,153 min,"Drama, Family, Sport",8.2,68.0,74129,1113541.0
2007,A,158 min,Drama,8.2,93.0,517359,40222514.0
2006,UA,118 min,"Drama, Fantasy, War",8.2,98.0,618623,37634615.0
2010,U,103 min,"Animation, Adventure, Comedy",8.2,92.0,757032,415004880.0
2005,A,132 min,"Action, Drama, Sci-Fi",8.2,62.0,1032749,70511035.0
2006,UA,167 min,"Comedy, Crime, Drama",8.2,79.0,111937,2197331.0
2005,U,122 min,Drama,8.2,79.0,33354,733094.0
2005,UA,140 min,"Action, Adventure",8.2,70.0,1308302,206852432.0
2004,U,210 min,Drama,8.2,79.0,83005,1223240.0
2004,R,156 min,"Biography, Drama, History",8.2,82.0,331308,5509040.0
2004,U,119 min,"Animation, Adventure, Family",8.2,80.0,333915,4711096.0
2001,UA,135 min,"Biography, Drama",8.2,72.0,848920,170742341.0
2000,U,156 min,"Action, Comedy, Crime",8.2,79.0,57057,23530892.0
1998,A,107 min,"Action, Comedy, Crime",8.2,66.0,535216,3897569.0
1997,A,138 min,"Crime, Drama, Mystery",8.2,90.0,531967,64616940.0
